description,years_exp,country,salary_range,job_category,job_title,required_skills
"Work on state-of-the art technologies and build things at a scale never seen before in India.-This profile is a mix of:- implementing complex data processing flows to crunch data and produce insights- leading and supporting data scientists to create world class products- Bringing about significant innovation and solving complex problems in projects based on analytics-Evaluating impact of software performance, and recommending changes to software design team.-Desired qualifications- MTech/MS in Computer Science.- Typically 7 or more years of experience executing on projects as a lead.- In depth knowledge of data science principles and best practices- Programming experience in Scala, Java or Python- Experience with Apache Spark platform.- Experience with big data technologies and databases like Redshift ,Elasticsearch, and Hadoop- Hands-on with Data Handling - data acquisition, data transformation, and data cleaning.- Expertise in Big Data with experience to handle and work with terabytes of data- Familiarity with modern machine learning methods for regression and classification.--Does Not Matter-Post Graduate- 3000k to 5000k-
Apache Spark
,
Bigdata
,
Data Acquisition
,
Data Cleaning
,
Data Handling
,
Data Transformation
,
Elastic Search
,
Hadoop
,
Java
,
Machine Learning
,
Python
,
Redshift
,
Scala
-
Mumbai
!!!",7.0,Mumbai,3000k to 5000k,Data_Analytics,Big Data Architect- Mumbai (7+ Years of Experience),"Apache Spark,Bigdata,Data Acquisition,Data Cleaning,Data Handling,Data Transformation,Elastic Search,Hadoop,Java,Machine Learning,Python,Redshift,Scala"
"Post Graduate- 1000k to 1500k-
Predictive Modeling
,
Pyspark
,
Python
,
R
,
Time Series
-
Bangalore
!!!Strong hands on experience on Python, Pyspark and R programming language+Hands on experience in identifying the right algorithm / technique to solve a particular business problem+Experience in building and scaling models for sensor/time series data+Experience in building products+Experience in building predictive maintenance algorithms+Hackers mind-set / Quick learner+Should be able to guide a team of developers",2.0,Bangalore,1000k to 1500k,Data_Analytics,Machine Learning Developer- Bangalore (2- 4 years of experience),"Predictive Modeling,Pyspark,Python,R,Time Series"
"Company Profile:-We are a young and vibrant P2P lending marketplace and at the very start of our entrepreneurial journey. We have a vision to reinvent the way banking is transacted in India. We are highly focused on improving the borrower experience and improve Turn -around time and (TAT), encourage out of the box thinking and innovation.  We would be present in small ticket granular lending.--Job Description:-Chief Risk officer   -Key Responsibilities & Job Functions:-As part of core committee,  ideate and construct credit underwriting process and system. The ideal candidate in this venture would be open to think of innovative ways to do small ticket retail credit underwriting . We want to focus on new ideas to increase usage of low cost tech in banking, do credit differently and provide a seamless experience to all the stakeholders .--Qualification:-Post graduate with atleast 5-7 years of experience in banking operations. Candidate should have worked in small ticket retail credit underwriting/building scorecard /alternative forms of credit evaluation.--Does Not Matter-Post Graduate- 2500k to 3000k-
Bfsi
,
Credit Risk
,
Risk Analytics
,
Scorecard Building
,
Underwriting
-
Mumbai
!!!",5.0,Mumbai,2500k to 3000k,Data_Analytics,Chief Risk Officer- Mumbai (5-7 years of experience),"Bfsi,Credit Risk,Risk Analytics,Scorecard Building,Underwriting"
"- Create scalable, efficient, automated processes for large scale data analysis. - Perform comprehensive analysis to support ad-hoc reporting requests. - Develop and maintain predictive models for customer attrition and upsell. -- Own demand generation analytics and reporting which includes proposing, driving creation of and managing metrics and analyses that monitor and improve marketing effectiveness. -- Develop and execute standardized reporting and analysis to improve our understanding of customer behavior. Retrieve and analyze complex and large data sets to provide insights on customer life cycle and customer engagement. Analyze historical data to identify significant trends and drivers. - Develop A/B test scenarios and monitor results of customer engagement initiatives. Propose recommendations based on the analysis of those results. - Provide support for new functionalities and product launches within the Amazon Digital Music ecosystem. Assist in the definition and delivery of a marketing strategy for these new releases. - Have the obsession to drive a better customer experience through everything that we do at Amazon. Basic qualifications:-- BA/BS degree in Mathematics, Statistics, Computer Science, or any other quantitative field; MBA preferred. - 5+ years professional experience in Analytics, Business Intelligence, or a Data Science role preferably in an e-commerce or retail company with large, complex data sources. - Advanced SQL writing skills and experience querying very large relational databases - Experience building and applying statistical models for forecasting, predicting outcomes, or understanding relationships in data - Must be passionate about data analytics and have a natural curiosity and ability to dive deep into large datasets uncovering insights and presenting relevant findings to business partners - Ability to quickly gain a deep understanding of our BI platforms, database schemas, ETL- s, and business logic with an ability to apply critical thinking skills towards gathering and analyzing data - Excellent communication skills, both verbal and written, are required as you will draft narratives outlining your findings, explaining variances against goals, and present these finding in a review forum - Strong ownership and bias for action; ability to internalize goals and work independently to crate appropriate action plans for those goals - Strong problem-solving and critical thinking skills; ability to analyze issues and create appropriate tactical plans - Meticulous attention to detail; ability to juggle many tasks in parallel without lowering quality bar - Ability to succeed in a fast-paced, innovative, and rapidly evolving industry and business organization-Does Not Matter-Under Graduate- 750k to 1100k-
Hadoop
,
Mapreduce
,
Python
,
R
,
Statistical Modeling
,
Statistics
-
Mumbai
!!!",4.0,Mumbai,750k to 1100k,Data_Analytics,Business Intelligence Analyst- Mumbai (4- 8 Years Of Experience),"Hadoop,Mapreduce,Python,R,Statistical Modeling,Statistics"
"- Strong Influencing skills to coordinate/ get things done cross functionally across the organization - Strong analytical skills & proficiency in MS Office to provide analytics & presentations enabling the Senior Management to take decisions. - Strong Project Management & Coordination Skills. - Strong problem solving, process & structured approach to work. - Ability to lead & effectively manage Direct & Indirect teams. - Emotionally balanced and mature to handle pressure & build relationships. - Willingness to stretch & work beyond role boundary. Educational Level & Work Experience :-- Graduate Degree in Commerce/ Economics/Business Management/ Ideal would be a MBA Degree' - Experience in Fraud/ Risk/ Compliance Management - High Proficiency in Data Analytics-Does Not Matter-Under Graduate- 450k to 900k-
Data Analytics
,
Fraud Analytics
,
Modeling
,
R
,
Risk Analytics
,
Statistical Modeling
-
Pune
!!!",2.0,Pune,450k to 900k,Data_Analytics,Manager (Data Analyst)- Pune (2-5 Years Of Experience),"Data Analytics,Fraud Analytics,Modeling,R,Risk Analytics,Statistical Modeling"
"- Programming and analytical skills in a major analytics software package (e.g. R, Python) - Superior analytical and quantitative skills, with experience working with large, complex data sets. - Strong troubleshooting, analytical and creative problem solving skills. Ability to collect, manipulate, cleanse and interpret data from multiple data sources, required. - Proven experience in analytically driven supply chain management techniques - Candidate should have excellent written and verbal communication - He/she should be highly motivated and self-directed, capable of multi-tasking and should be able to work with minimal supervision - Strong interpersonal skills, including ability to work in a cross functional environment and communicate with all levels of the organization. - Should have strong work ethic and positive team attitude - Candidate should be open for learning and should have the ability to adapt and learn different reporting tools, languages and applications - Experience with Supply Chain technologies and tools.-- Bachelor's degree with minimum work experience of 2 years with at least 2 years of experience in Analytics or Supply Chain in a corporate setting. - Candidate should have an advance knowledge of MS Excel,MS word, Power point -Does Not Matter-Under Graduate- 400k to 750k-
Excel
,
Logistic Regression
,
Modeling
,
Power Point
,
Python
,
R
-
Delhi
,
Gurugram
!!!",3.0,"Delhi,Gurugram",400k to 750k,Data_Analytics,Data Analyst- Delhi/NCR/Gurugram- (3-5 Years Of Experience),"Excel,Logistic Regression,Modeling,Power Point,Python,R"
"We are looking for a Data Analytics Manager to organize our analytics function and manage our team of data scientists. You will implement tools and strategies to translate raw data into valuable business insights. Key Responsibility:-- Oversee all analytics operations to correct discrepancies and ensure quality - May collect and analyze external market data to provide benchmarks for comparison purposes. - Presents reports to management for use in decision making and strategic planning-- Manages team of data scientists that use business data and statistical methods to provide insight into business performance and suggest area for and methods of improving operations - Implements analytical approaches and methodologies and assists in the interpretation of results.Skill Sets / Requirements: - Proven experience as a Data Analytics Expert - Very good knowledge of predictive modeling and statistical techniques - Knowledge of Excel, R and SQL; familiarity with business intelligence tools - Problem solving attitude - Ability to learn and adapt quickly and to correctly apply new tools and technology. - Strong leadership and mentoring skills-Qualification: -- B.tech/BE (Technology or Statistics related) - Master's in Business or Analytics related (preferred)-Does Not Matter-Under Graduate- 520k to 1100k-
Data Analytics
,
Excel
,
Predictive Modeling
,
R
,
Sql
,
Statistical Techniques
-
Delhi
!!!",5.0,Delhi,520k to 1100k,Data_Analytics,Data Analytics (Manager)- Delhi/NCR (5-8 Years Of Experience),"Data Analytics,Excel,Predictive Modeling,R,Sql,Statistical Techniques"
"- Work with engineering and research teams on designing, building and deploying data analysis systems for large data sets - Design, develop and implement R&D and pre-product prototype solutions and implementations using off the shelf tools (e.g. R, SAS,SPSS), and software (e.g. Python, Java, C/C++, .NET) - Create algorithms to extract information from large data sets. - Establish scalable, efficient, automated processes for model development, model validation, model implementation and large scale data analysis. - Develop metrics and prototypes that can be used to drive business decisions. Should Have:- Strong background in statistical concepts and calculations with 3.5+ yrs experience with real data - Innovative and strong analytical and algorithmic problem solvers. - Proficiency with statistical analysis tools (e.g. R, SAS,SPSS), software development technologies (e.g. Python, Java, C/C++, .Net) - Extensive experience solving analytical problems using quantitative approaches (e.g. Bayesian Analysis, Reduced Dimensional Data Representations, and Multi-scale Feature Identification). - Expert at data visualization and presentation. - Excellent critical thinking skills, combined with the ability to present your beliefs clearly and compellingly verbally and in written form.-Qualification: Bachelor Degree in Engineering from top institute/college - IIT, NIT, BITS Pilani etc. Or MS / MSc in Statistics only -Tier 1: Any Degree-Post Graduate- 1000k to 1800k-
C++
,

C
,
Java
,
Python
,
Qlikview
,
R
,
Sas
,
Spss
,
Statistical Modeling
,
Tableau
-
Bengaluru
!!!",4.0,Bengaluru,1000k to 1800k,Data_Analytics,Senior Business Analyst - Bangalore (4-5 Years Of Experience),"C++,C,Java,Python,Qlikview,R,Sas,Spss,Statistical Modeling,Tableau"
"Does Not Matter-Under Graduate- 500k to 700k-
Power Bi
,
Qlikview
,
Tableau
-
Gurugram
!!!Experience in designing and developing QlikSense/QlikView dashboards, reports and solutions, configuring server components (QMC tasks, server administration)+Experience with any other tools such as Tableau/Power BI+Data modeling using dimensional modelling, Star schema, snowflake schema.+Experience implementing dimensional star & snowflake models, data marts, and data warehouses +Working knowledge on Oracle/SQL/Other relational database - ability to analyze, and improve database SQL performance+Sound process knowledge on software development; +Strong analytical skills, above average written and verbal communication skills​ +Finalizes forms, procedures, and other documentation needed for the installation, monitoring and maintenance of application programs.+Performs complex analysis, design, programming, test plans, testing, debugging, modification and support for business intelligence system(s).+Writes and maintains documentation describing changes/modifications to all systems.+Develop reports, dashboards, scorecards, Unit, Integration test the developed components+Data visualization mock-up, report design, and data modelling+Self-motivated, ability to work independently with minimal direction and be team oriented with ability to communicate to a wide variety of audiences+Provide UAT and Implementation support.",1.0,Gurugram,500k to 700k,Data_Analytics,Qlikview Consultant- Gurgaon (1-2 years of experience),"Power Bi,Qlikview,Tableau"
"- Deploy machine learning methodologies and algorithms to build data products that streamline the process from data collection to insight generation. - Assemble data sets from disparate sources and analyze using appropriate quantitative methodologies, computational frameworks and systems - Disseminate findings to non-technical audiences through a variety of media, including interactive visualizations, reports and presentations-- Work closely with customers and delivery teams to find applications and business use cases for advanced analytical capabilities. - Generating business insight using data analytics and information visualization methods to answer business problems in different domains. - Designing and developing analytics solutions to move towards data-driven innovation in alignment with business priorities and key targets. Desired Skills and Experience : - 5+ years working with data and relevant computational frameworks and systems - Have Expert knowledge with Big Data tools like Hadoop and with other Statistical tools like SAS, Matlab, R, SQL, and VBA - Hands-on experience with Machine Learning algorithms, natural language processing, data analytics, and information visualization - Be Fluent with at least one programming language like Java or Python - Have Strong commitment to quality and client service - Have excellent interpersonal skills- Have a PhD or a Masters Degree in a Quantitative discipline from a Tier 1 Institute like the IITs, ISI, IIMs, DSE etc.,-Tier 1: Any Degree-Post Graduate- 1800k to 3000k-
Bigdata
,
Hadoop
,
Java
,
Machine Learning
,
Matlab
,
Nlp
,
Python
,
Qlikview
,
R
,
Sas
,
Sql
,
Tableau
,
Vba
-
Ahmedabad
!!!",4.0,Ahmedabad,1800k to 3000k,Data_Analytics,Data Scientist - Ahmedabad (4-9 years Of Experience),"Bigdata,Hadoop,Java,Machine Learning,Matlab,Nlp,Python,Qlikview,R,Sas,Sql,Tableau,Vba"
"Does Not Matter-Under Graduate- 450k to 850k-
Modeling
,
Python
,
R
,
Sas
-
Chennai
!!!",2.0,Chennai,450k to 850k,Data_Analytics,Data Scientist/Analyst- Chennai (2-5 Years Of Experience),"Modeling,Python,R,Sas"
"- Assist in the ongoing development of technical best practices for data movement, data quality, data cleansing and other ETL-related activities.- Provide technical knowledge of Extract/Transform/Load (ETL) solutions for Business Intelligence projects Excellent written and verbal communication skills and be able to lead meetings with technical peers regarding the solution designs.- Ability to communicate with the Business Analysts, Data Modelers and Solution Architects when it comes to converting the ETL design into specific development activities Ability to do ETL development and to supervise and guide ETL development activities of other developers Work closely with project Business Analyst, Data Modeler and BI Lead to ensure that the end to end designs meet the business and data requirements Work closely with Project Manager to develop and update the task plan for ETL work and to keep the manager aware of any critical task issues and dependencies on other teams Supervise, lead and assist the creation of the data layer Perform checkpoints/reviews on presentation layer designs and code being created by the ETL developers Ensure that developers are applying Schumacher Group standards in all deliverables Lead Unit and Integration Testing activities and assist in User Acceptance Testing as neededRequirements:-- Bachelor's Degree in Computer Science, Information Systems, or other related field or equivalent work experience At least 5 years overall experience in IT applications development or consulting related to IT applications development At least 5 years in technical development and leadership roles on BI projects - with some experience along the way doing these types of activities:- Designing and developing with ETL Tools- Designing and developing with Relational Reporting Tools Managing or coordinating the time and activities of other people and other groups Demonstrated experience working on strategy projects and evaluating software in the Business Intelligence, Data Warehouse and/or Data Management space-Does Not Matter-Under Graduate- 500k to 1000k-
Business Intelligence
,
Data Warehouse
,
Etl
-
Pune
!!!",3.0,Pune,500k to 1000k,Data_Analytics,ETL Developer- Pune (3-7 Years Of Experience),"Business Intelligence,Data Warehouse,Etl"
"- Experience in credit banking industry required - Hands on experience on SAS and Excel/VBA -- 2-5 years of total experience of Data Analytics / Data Insights Generation - Proven experience in delivering Analytics Solutions - Good communication/problem solving/analytical bent of mind-Does Not Matter-Under Graduate- 550k to 750k-
Credit Risk
,
Excel
,
Sas
,
Vba
-
Bengaluru
,
Delhi
,
Gurugram
!!!",2.0,"Bengaluru,Delhi,Gurugram",550k to 750k,Data_Analytics,Senior Business Analyst (Credit Risk Analytics)- Delhi/NCR/Bangalore/Gurgaon (2-5 Years Of Experience),"Credit Risk,Excel,Sas,Vba"
"This fulltime in house position is of Senior MSBI Developer (SSIS, SSAS, SSRS) with a software consulting company. We are looking for someone who can contribute to the full development lifecycle of reporting, database, data integration, cube and data warehousing solutions. Working with Microsoft SQL Server and the full Microsoft BI Stack (SSIS, SSAS, SSRS), you will be working on large scale BI projects.-Does Not Matter-Under Graduate- 500k to 1000k-
Business Intelligence
,
Data Warehouse
,
Sql Server
,
Sql Server Integration Service (Ssis)
,
Sql Server Reporting Services (Ssrs)
-
Ahmedabad
!!!Minimum a graduate with excellent communication skills in English, both oral and written+4+ years of Business Intelligence experience+Experience of database design or integration experience with SQL Server databases+Expertise with MS SQL Server and the full Microsoft BI Stack (SSAS, SSRS, SSIS)+Experience delivering reporting, database, data integration and cube solutions+Strong communication abilities+Relational database and SQL Language+Data Warehouse/Solution Design+Report  Development+Candidate must be from Ahmedabad or willing to relocate to Ahmedabad, Gujarat.+",4.0,Ahmedabad,500k to 1000k,Data_Analytics,Senior MSBI Developer- Ahmedabad (4-8 Years of Experience),"Business Intelligence,Data Warehouse,Sql Server,Sql Server Integration Service (Ssis),Sql Server Reporting Services (Ssrs)"
"Expertise in AI, ML, Deep Learning, Text MiningExperience of creating a big data analytics using either AWS, Azure ML or Google ML Hands on expert level experience in Spark or StormExperience in image or video analytics Must have right attitude and right level of flexibility to in our kind of environment. (in contrast to LAB environment). Should be a good team PlayerShould have reasonable good communication skills and strong consulting mindset to engage with Global stakeholdersGood to have:Experience of working on Scala is useful but not essential Experience/exposure to Tensorflow will be an advantage Good to have experience in PySpark or something similar Academic Proficiency:Ph.D preferred Or, Masters in Mathematics/Statistics Or, ME/M.Tech in Computer Science Work Experience: Minimum 10 years -Does Not Matter-Post Graduate- 2200k to 3500k-
Artificial Intelligence
,
Aws
,
Deep Learning
,
Machine Learning
,
Scala
,
Spark
,
Storm
,
Tensor Flow
,
Text Mining
-
Bengaluru
!!!",9.0,Bengaluru,2200k to 3500k,Data_Analytics,Sr. Consultant - Data Scientist-Bengaluru (9-14 Years of Experience),"Artificial Intelligence,Aws,Deep Learning,Machine Learning,Scala,Spark,Storm,Tensor Flow,Text Mining"
"Does Not Matter-Under Graduate- 300k to 800k-
Artificial Intelligence
,
J2ee
,
Java
-
Ahmedabad
!!!",1.0,Ahmedabad,300k to 800k,Data_Analytics,Artificial Intelligence Developer- Ahmedabad (1-3 Years Of Experience),"Artificial Intelligence,J2ee,Java"
"- To help designing, innovating and building our next generation ML architecture - Working with a group (Data Science & Machine Learning Group) of ML engineers, Data Scientists and Product Analysts - Define and drive API oriented solutions for data and machine learning services - 6 years of full time programming experience within an operations or technical department. - 3+ years of direct experience with multiple Agile teams. - Be able to distill business objectives into technical solutions through effective system design and architecture - Be able to work independently on a project-by project basis and also work in a collaborative and fast-paced team environment - Be able to provide technical and analytical solutions to evaluate the merits and challenges of a product idea - Create applications on both the server-side and on the web interface - Perform high complexity integration testing and validate all services integrate according to specifications - Responsible for prevention and early detection of defects through verification and validation activities ensuring the integrity and quality of all work products Industry : IT-Software / Software Services Functional Area : IT Software - DBA, Datawarehousing Role Category : Programming & Design Role : Team Lead/Technical Lead Keyskills : Programming, Machine Learning, Artificial Intelligence, Data Science, product engineering, Elastic Search, NLP, DB NoSql - MongoDB, Neo4J, MySql. Desired Candidate Profile Technology Competencies Must Have : - Java, Play, Scala. - DB/NoSql - MongoDB, Neo4J, MySql. Good to have : - Elastic Search, NLP background and Machine Learning Platforms - Strong End User focus, understanding the needs of both technical and non-technical end users. Non-Technical Competencies : - Think big & scale - Thought leadership in respective Technology domains - Passionate & Obsessive about problem solving - Self-starter, Complete Ownership and absolute pro-activeness - Fast Learning curve with eagerness to keep in pace with the tech trends Work Experience : More than 5 years of hands on product engineering experience-Does Not Matter-Under Graduate- 1200k to 2500k-
Artificial Intelligence
,
Java
,
Machine Learning
,
Mongodb
,
Nlp
,
Scala
-
Bengaluru
,
Delhi
,
Mumbai
!!!",2.0,"Bengaluru,Delhi,Mumbai",1200k to 2500k,Data_Analytics,"Technical Lead - Machine Learning/artificial Intelligence- Mumbai, Bengaluru, Delhi (2- 6 Years Of Experience)","Artificial Intelligence,Java,Machine Learning,Mongodb,Nlp,Scala"
"- Contributing to the thought capital through the creation of executive presentations, architecture documents, and IT position papers -- Developing and maintaining strong client relations with senior and C-level executives -- Leading and mentoring other IT consultants within the account and across analytics practice - Maintain high profitability while addressing the risks and issues of the account - Supporting business development and ensuring high levels of client satisfaction during delivery -- Developing new insights into the client's business model and pain points, and delivering actionable, high-impact results Mandatory Skills : -- Should be able to Mentor the team members to groom them for the future roles - Ability to produce high quality outputs under pressure and within deadlines-- In depth knowledge of any of CPG/Retail is mandatory and more is a plus. -- Knowledge of analytical tool kits like SAS, SPSS, R -- Knowledge of data analysis--Experience Required :- 12 to 15 years of demonstrated hands-on experience in the area of Business Analytics - At least 5 Full cycle Business Analytics engagements with at-least two engagements with role of Analytics Manager Education :-- Bachelor's degree in Computer Science or a related field preferred (BE/B.Tech, BSc Stats) - Master's degree in a related field preferred (MBA, MSc Stats) -Does Not Matter-Under Graduate- 2500k to 4000k-
Data Analysis
,
R
,
Retail Analytics
,
Sas
,
Spss
-
Bengaluru
!!!",12.0,Bengaluru,2500k to 4000k,Data_Analytics,Director - Analytics - CPG/Retail Domain- Bangalore- (12-15 Years Of Experience ),"Data Analysis,R,Retail Analytics,Sas,Spss"
"- Team  responsible for developing and executing the most effective collections placement, segmentation, and pricing strategies, as well as driving analytics to improve the operational efficiency of fraud and in-house collections. - Candidate will be responsible for conducting analysis and generating insights into developing the optimal OA placement and pricing structure. - She/He will also work closely with Global Collections team to drive best placement / pricing practices across all markets, and the infrastructure team to ensure flawless execution. This role may be subject to additional background verification checks. - This role may be subject to additional background verification checks. Qualifications : - Strong analytical and problem solving skills. -- Experienced in SAS preferred. -- Good communication skills, Good relationship building and influencing skills, Motivated, results oriented, and effective at handling multiple projects at the same time. - Advanced degree in business, economics, statistics, operations research, or other quantitative fields preferred. -- Thorough understanding of Global Risk Systems (GRMS, WCC, and RMS) or IDN will be a plus for internal candidates -Does Not Matter-Under Graduate- 450k to 1200k-
Business Analysis
,
Sas
,
Strategy
-
Gurugram
!!!",2.0,Gurugram,450k to 1200k,Data_Analytics,Business Analyst - Gurgaon-(2-7 Years Of Experience),"Business Analysis,Sas,Strategy"
"- 3-5 years of total experience of Data Analytics / Data Insights Generation -- Hands on experience on SAS and Excel/VBA-- Proven experience in delivering Analytics Solutions - Experience in banking industry required - Good communication/problem solving/analytical bent of mind-Does Not Matter-Under Graduate- 500k to 1200k-
Data Analytics
,
Excel
,
Problem Solving
,
Sas
,
Vba
-
Bengaluru
,
Delhi
,
Gurugram
!!!",3.0,"Bengaluru,Delhi,Gurugram",500k to 1200k,Data_Analytics,Assistant Manager - Credit Risk - Delhi/NCR/Bangalore/Gurgaon (3-6 Years Of Experience),"Data Analytics,Excel,Problem Solving,Sas,Vba"
"- Identify and understand trends and make recommendations. Create clear written communications and routinely present results to senior leaders including the ability to influence toward a particular decision-- Work with Operations partners and leaders to ensure any new developments will be deliverable and executable in an Operations environment -- Perform analysis as it pertains to eligibility and performance of portfolio management strategies. Utilize SAS, SQL, Oracle, Knowledge Seeker and MS Office analysis tools to complete analysis requirements -- Partner with technical groups to develop requirements for changes to rules engines and automated strategies - Forecast performance changes that tie to segmentation or treatment changesQualifications - A minimum of 1 years of relevant analytics/modeling experience. Previous experience in credit card risk is strongly preferred - Bachelors or MS degree(preferred) in Statistics, Econometrics, Mathematics or Finance (or equivalent quantitative field) is required -- Knowledge of credit card P&L is preferred - Knowledge and experience in gathering requirements, building and presenting strategies, data mining and presentation of findings is a must - Experienced programming knowledge in both SAS and SQL, Operating systems experience with UNIX and relational database knowledge such as ORACLE/TERADATA - Strong analytical, interpretive and problem solving skills with the ability to interpret large amounts of data and its impact in both operational and financial areas - Demonstrated excellent written and oral communication skills to clearly present analytical findings and make business recommendations via the use of Microsoft Word, Excel, and PowerPoint-Does Not Matter-Under Graduate- 350k to 820k-
Credit Risk
,
Excel
,
Oracle
,
Power Point
,
Sas
,
Sql
,
Statistics
,
Teradata
,
Unix
-
Bengaluru
,
Mumbai
!!!",1.0,"Bengaluru,Mumbai",350k to 820k,Data_Analytics,Strategic Analytics - Bangalore/Mumbai (1-6 Years Of experience),"Credit Risk,Excel,Oracle,Power Point,Sas,Sql,Statistics,Teradata,Unix"
"Excellent verbal and written communication and form liason between business and technical architects and developers, Strong inclination towards consulting engagements involving machine learning and artificial intelligence.-Manage clients expectations and manage advanced analytics delivery.-Tier 1: Any Degree-Under Graduate- 650k to 1000k-
Artificial Intelligence
,
C++
,
C
,
Java
,
Machine Learning
,
Predictive Modeling
,
Python
,
Statistics
-
Mumbai
!!!To work in agile methodology for project delivery Good foundation in data structures, software design, algorithms and natural language processing Required skills: At least 1 year of experience in programming, quantitative analysis or as a data scientist+B.Tech., Dual Degree M.Tech., or M.Sc. (Integrated) in Computer Science, Mathematics, Statistics, Engineering, Physics or similar quantitative disciplines from the Indian Institutes of Technology (IIT) or Indian Statistical Institute (ISI). +Strong programming skills in one of the following: Python, C++, C# or Java+Demonstrated ability to conduct independent research utilizing large datasets",1.0,Mumbai,650k to 1000k,Data_Analytics,Data Scientist -Mumbai (1-4 Years Of Experience),"Artificial Intelligence,C++,C,Java,Machine Learning,Predictive Modeling,Python,Statistics"
"- Understand business requirements of customer and convert them into technical - Complex manipulation and treatment of data in SQL, excel, R/Python/SAS (whichever applicable in particular case) - Integration of data from different sources - Application of data analytics and machine learning techniques on datasets to obtain the desired output - Do deep data dives to find out insights - Interact and collaborate with internal teams for project requirement and delivery - Create front-ends or dashboards or slide decks to deliver the result to the end user - Present outputs to end users Skills: - MySQL/ Oracle database - R/Python. - SAS is good to have, but not mandatory - Statistical / Machine Learning techniques - Tableau / Qlikview is good to have - MS Excel / MS Access Experience & Education: - B.Tech/ M.Tech / MBA/ MS in Statistics or Machine Learning - 2-5 years of experience -Does Not Matter-Under Graduate- 450k to 1000k-
Excel
,
Machine Learning
,
Ms Acces
,
Oracle
,
Python
,
Qlikview
,
R
,
Sas
,
Statistics
,
Tableau
-
Delhi
,
Gurugram
!!!",2.0,"Delhi,Gurugram",450k to 1000k,Data_Analytics,SQL Expert - Delhi/NCR/Gurgaon (2-6 Years Of Experience),"Excel,Machine Learning,Ms Acces,Oracle,Python,Qlikview,R,Sas,Statistics,Tableau"
"Does Not Matter-Post Graduate- 400k to 800k-
Sas
,
Sql
,
Tableau
-
Bengaluru
!!!",1.0,Bengaluru,400k to 800k,Data_Analytics,Consultant - SAS/SQL/ Tableau - Bangalore (1-3 Years Of Experience),"Sas,Sql,Tableau"
"- Understand business problems of various industries - Design analytical frameworks to address them - Apply leading-edge statistical modeling techniques and machine learning techniques - Work with state-of-the-art technologies - Work with complex data / big data - Be part of a growing team that is excited about the work we do - we would love to talk to you. The position offers a unique opportunity to be part of a small, fast-paced, challenging, and entrepreneurial environment, with a high degree of individual responsibility. Significant opportunities for professional development exist, as we continue to grow. Compensation packages among the best in the industry. Desired Skills and Experience: - 2+ years of programming experience which should include hands-on programming in Java/C/C++ - Knowledge of one of statistical/general purpose scripting languages software such as R, SAS, Python, SPSS etc is mandatory. - Excellent written and verbal communication skills-Does Not Matter-Under Graduate- 350k to 800k-
C++
,
C
,
Java
,
Python
,
R
,
Sas
,
Spss
-
Chennai
!!!",2.0,Chennai,350k to 800k,Data_Analytics,Senior Data Analyst-Chennai (2-4 Years of Experience),"C++,C,Java,Python,R,Sas,Spss"
"- Responsible for planning, development, implementation, and maintenance of EDA Risk metrics and KRIs (Key Risk Indicators) for the EDA group - Provide thought leadership and apply areas of expertise to data domain to develop a risk metrics program that is effective and efficient in discovering and measuring the inherent risks across the line of business - Development and implementation of the deliverables for Risk Metrics work stream, a work stream within the EDA transformation program - Development and execution of Risk Metrics reporting - Preparation of documentation for deliverables within the Risk Metrics work stream - Build strong relationships and partner with business partners throughout the EDA group related to Business Processes and the related KRIs - Participate in strategic team and enterprise initiatives for risk metrics and KRIs - Ensure appropriate prioritization, status reporting, escalation and closure of outstanding Risk Metrics issues - Provide risk metrics support, expertise and consulting to identify, assess and manage risk in support of EDA for projects and initiatives - Review metrics and decipher their usability from the risk and /or the performance angle - Synthesize risk related data for business, customers, and/or products/services/portfolios to 'form a story' - Provide administrative oversight for EDA risk management offshore resources at EGS (please note that these resources will get work direction from their functional manager in US) Work with senior managers in India to provide required reporting re vacations/time taken off/time planning for offshore resources and facilitate performance management process on the ground -Desired Qualifications : - Experience with enterprise database technologies (data storage, data movement, and data access etc.) and business intelligence tools - Experience utilizing Excel, PowerPoint and visualization skills (such as tableau) - Experience utilizing software such as SAS, SQL, Teradata, Oracle, Informatica, Ab Initio, Cognos etc. - Exposure to our data including BMG, MDSS, STS, Hogan, and/or Hemisphere databases - Exposure to or experience working with products in the financial industry - Professional certifications such as Certified IT Risk Professional (CRISC), Certified Information Systems Security Professional (CISSP), Certified in the Governance of Enterprise IT (CGEIT) or Certified Information Systems Auditor (CISA) -Does Not Matter-Post Graduate- 1200k to 2000k-
Abinitio
,
Business Intelligence
,
Excel
,
Modeling
,
Oracle
,
Power Point
,
Risk
,
Sas
,
Sql
,
Tableau
,
Teradata
-
Hyderabad
!!!",10.0,Hyderabad,1200k to 2000k,Data_Analytics,Operational Risk Manager - Hyderabad (10-12 Years Of Experience),"Abinitio,Business Intelligence,Excel,Modeling,Oracle,Power Point,Risk,Sas,Sql,Tableau,Teradata"
